id,titulo,argumento,link_libreria
32,"LA CERCA","Al recorrer la zona de París delimitada por el bulevar Ney y la calle Clóture, Jean Rolin se embarca en un doble proyecto: por un lado, rememorar la figura del excéntrico mariscal napoleónico Michel Ney -figura clave para comprender la batalla de Waterloo- y, al mismo tiempo, narrar su propia campaña entre olvidados barrios marginales del París contemporáneo. El mariscal Ney aparece como una mezcla de héroe y personaje abyecto, que lo mismo salva a su ejército de una derrota que conspira contra el Emperador, hasta que finalmente es fusilado por traición el 7 de diciembre de 1815, a las nueve de la mañana. En cambio, la población de prostitutas, inmigrantes refugiados y vagabundos que pueblan este gueto parisino están condenados desde el comienzo a deambular por sus calles buscando formas de sobrevivir. Con las andanzas de Ney como trasfondo, Rolin narra el asesinato de una prostituta búlgara, que conmociona a la sociedad al grado de que los medios se refieren a ella por su nombre de pila; conoce a personajes como Gérard Cerbére, que vive en una caravana luego de haber sido echado de cuarenta empleos y que fantasea con ser tan indestructible como el mismo diablo; conoce el caso de Lito, un ex soldado de Zaire perseguido en su país por negarse a continuar extinguiendo cadáveres para entorpecer investigaciones de la comunidad internacional. Así como el pintor Jean-Léon Géróme inmortalizó el fusilamiento del mariscal Ney en un cuadro titulado con la fecha y hora de su ejecución, Rolin plasma con palabras la condena cotidiana de los excluidos, que se ven obligados a cumplirla sin juicio previo ni causa aparente.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190556
33,"LA EVOLUCION DEL TALENTO","Los orígenes del ser humano, de dónde venimos y cómo he­mos llegado hasta aquí, es una de las cuestiones más fas­cinantes a las que se enfrenta la ciencia. Codirector de las excavaciones del yacimiento de Atapuerca, José María Ber-múdez de Castro es uno de los mayores expertos mundiales en evolución humana. Pero, además, esa responsabilidad le ha obligado a reflexionar sobre la gestión de equipos de trabajo, de qué modo se relacionan entre sí los seres hu­manos y cómo nuestro viaje evolutivo ha determinado esos patrones de conducta. Este apasionante ensayo reúne es­tos dos temas, y mientras sigue el camino que lleva de los primeros homínidos hasta el Homo sapiens, explica cómo las adaptaciones obligadas por el entorno han determinado muchas de las características de la sociedad actual.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190905
34,"LA LUZ DE SHAMBALA (DEBOL)","En las cumbres del Tíbet aguarda la muerte. Allí, de don­de se dice que proviene la verdadera sabiduría, un grave peligro, oculto en las entrañas de la tierra, acecha a la hu­manidad. La joven arqueóloga Sarah Kincaid y su equipo son la única esperanza de que la Tercera Arma, que per­mitiría el dominio del mundo, no caiga en las poderosas manos de la Hermandad del Cíclope. Desde Constantino-pla hasta Shambala, pasando por las heladas cumbres del Himalaya, Sarah deberá llegar hasta un lugar legendario, custodiado por seres míticos y ambicionado por Alejandro Magno, para reencontrarse con su pasado y ajustar, de una vez por todas, las cuentas con su destino. ¿Hasta dónde llegarías para descubrir la verdad? ¿Hasta el fin del mundo? ¿O incluso más allá...?",http://www.libreriacuesta.com/detalle/default.asp?mat=6190959
35,"FURINKAZAN. LA EPOPEYA DEL CLAN TAKEDA","Resulta difícil creer la fama que rodea a Yamamoto Kansuke como genial es­tratega militar y samurai feroz. Entrado en años, y con una visible cojera de una pierna, es tuerto y lastimosamente bajo de estatura. Sin embargo, el lec­tor no tardará en comprobar, a través de la sutil y evocativa pluma de Yasushi Inoue, que, a pesar de su físico, le sobran inteligencia y espíritu combativo. Fúrinkazan. La epopeya del clan Takeda relata la vida de un rónin -nombre con el que se conocía a los samurais que se convertían en vagabundos- de excepcional destreza que logra, con creatividad y determinación, conver­tirse en el brazo derecho deTakeda Shinguen, jefe de uno de los tres clanes que se disputaban la supremacía del territorio nipón en el siglo xvi. En su momento de mayor esplendor, Kansuke no sólo se encarga de desarrollar sorprendentes y apasionadas estrategias militares, sino que acaba por con­dicionar las decisiones de su señor incluso en los asuntos amorosos. Una emocionante novela que no sólo nos permite recorrer una época es­pecialmente agitada en la historia de Japón, que dio paso al inicio del pe­ríodo Edo, sino que nos adentra en el fascinante universo de esa grandiosa estirpe de guerreros que fueron los samurais. Yasushi Inoue teje con maes­tría un convulso y deslumbrante laberinto de pasiones, lealtades y traicio­nes, una inolvidable galería de personajes dominados por una sed de gloria insaciable. Un bellísimo y vigoroso fresco con el eterno fragor de la guerra de fondo, una historia que se desarrolla en todo momento bajo el signo de la muerte, único horizonte en un mundo dominado por el caos y la violen­cia, la sangre y el acero.",http://www.libreriacuesta.com/detalle/default.asp?mat=6191063
36,"RECUERDOS DE JANE AUSTEN","Desde su muerte en 1816, la obra de Jane Austen había ido ganando paulatinamente adeptos en los círculos literarios británicos. En 1870, James Edward Austen-Leigh, hijo del hermano mayor de la novelista, creyó que había llegado el momento de publicar un esbozo biográfico de su tía y, antes de que alguien ajeno a la familia se le adelantara, quiso es­cribirlo él mismo. Sus Recuerdos de Jane Austen fueron, pues, no sólo la primera biografía de la escritora, y durante mucho tiempo el texto en el que se basaron las demás, sino la pri­mera defensa por extenso de sus obras, que en su tiempo muchos consideraron insulsas y banales, faltas de colori­do, y carentes por completo de aventuras e interés. James Edward Austen-Leigh reivindica precisamente las cualida­des que hoy más apreciamos de la autora: sus novelas, dice, son como fotografías en las que los rasgos no se suavizan. Con cartas, pequeñas composiciones juveniles e incluso un cómico Esquema de una novela atendiendo distintas reco­mendaciones, esta breve biografía compone un delicado y divertido retrato familiar de una personalidad genial.",http://www.libreriacuesta.com/detalle/default.asp?mat=6191099
37,"EL SOL BAJO LA SEDA","LAEVOmrADE UNA TIERRA, DE UNA EVOCA, DE UNA PROFESIÓN Un apasionante retrato histórico de la Europa de finales del siglo XVII en el que la sociedad se enfrenta a los avances y las controversias de la ciencia médica de la época. La epopeya de un carismático cirujano ambulante que, guiado por la ambición de revolucionar la medicina, se ve abocado a una trepidante aventura en la que no faltan el amor, la pasión, la guerra y las intrigas cortesanas.",http://www.libreriacuesta.com/detalle/default.asp?mat=6187655
38,"PRESA DEL PLACER (T2)","La científica Ashaya Aleine, que vive separada de su hijo de cuatro años y enfrascada en la creación de implantes cerebrales que supondrían la efectiva esclavización de su raza, es la psi perfecta: fría, imperturbable, sin sentimientos... O eso aparenta, aunque en realidad lucha desesperadamente por salvar a su hijo y huir con él de la PsiNet. Pero cuando surge la oportunidad de escapar, Ashaya se encuentra a la merced de un cambiante enemistado con su raza. Dorian Christensen, francotirador del clan de los DarkRiver, siente un profundo odio por los psi desde que uno de ellos asesinó a su hermana y, aunque es incapaz de transformarse en su encarnación animal, sin duda tiene alma de leopardo. Su rabia acumulada alimenta una sed de venganza arrolladora. Sin embargo, no solo es el encargado de proteger a la psi rebelde y a su hijo, sino que al ver a Ashaya y detectar el aroma de exótica feminidad que emana, siente el irrefrenable deseo de hacerla suya. Poco a poco la naturaleza felina de Dorian entrará en juego para intentar derribar las defensas de esa enigmática mujer. Y juntos comprenderán que el verdadero enemigo a veces puede ser alguien que llevamos dentro.",http://www.libreriacuesta.com/detalle/default.asp?mat=6187660
39,"CON MIS PROPIAS MANOS","El sargento Raffaele Maione caminaba muerto de frío, preguntán­dose por enésima vez a quién se le habría ocurrido cometer un ase­sinato cuando faltaba una semana para la Navidad... Es una mañana gris de diciembre de 1931, se acercan las fiestas de Navidad, y Ñapóles es una ciudad famosa por sus belenes. Justo en esta época tan especial del año, y mientras el régimen fascista de Mussolini se afana en demostrar un absoluto control sobre la delincuencia, de repente el comisario Ricciardi tiene que resolver un doble crimen: Emanuele Garofalo, jefe de una milicia, y su esposa Costanza han sido brutalmente asesinados. Ricciardi, tras oír como de costumbre las últimas palabras de los dos muertos, arranca la investigación de la mano del insepa­rable Maione, pero lo único que tiene entre manos son los pe­dazos de una figurita de San José, que alguien tiró al suelo con vehemencia. Mientras tanto, en la penumbra, hay dos mujeres que pelean por el corazón del comisario, y cada una lo hace a su manera, buscan­do al hombre que se esconde tras unos ojos verdes, tristes y fríos.",http://www.libreriacuesta.com/detalle/default.asp?mat=6187680
40,"TODOS LOS BUENOS SOLDADOS","Nochevieja de 1957. Artistas españoles viajan a Sidi Ifni para animar a las tropas sitiadas y el cómico Miguel Gila acaba involucrado en un crimen, una sórdida trama de venganzas, sexo y tráfico de kif que implica a un joven alférez enamorado, a la hija de un héroe de guerra, a un viejo legionario y a un desertor estadounidense que practica surf. Gila reconocerá allí el mismo humor negro de sus monólogos bélicos, ese olor a pólvora del absurdo que es también el aroma de la derrota y de la guerra civil. Más allá de los géneros, David Torres se adentra en el desierto de las emociones humanas, en las encrucijadas del salvajismo y la civilización, con una novela que quiere ser también un homenaje a los combatientes que no tienen nombre ni voz, los anónimos figurantes que nadie ve y que son los buenos soldados de esta historia.",http://www.libreriacuesta.com/detalle/default.asp?mat=6188366
41,"MIENTRAS NO DIGAS TE QUIERO","El sexo apenas tiene ya secretos para nosotros. Sin embargo, el amor es cada vez más misterioso. Nos acostamos con quien queremos, pero el corazón se nos resiste. Erotismo, pasión, intriga, celos, dudas, ternura, complicidad, risas. Seis mujeres se apuntan a un taller para aprender a seducir. Cada una tiene una motivación distinta. Incluida Iris, la psicóloga que dirige el taller. Todas creen saber lo que quieren, pero les falta esa herramienta que las aleja de la realización de sus aspiraciones. Sin embargo, lo que la vida les depara es algo bien diferente. Asumir el riesgo de atreverse a vivir sin brújula las llevará a descubrir una sorprendente fórmula de seducción que no estaba escrita en los libros, tan natural como efectiva, y que siempre estuvo ahí. Un cambio tan radical como jamás imaginaron y que les abre una puerta desconocida.",http://www.libreriacuesta.com/detalle/default.asp?mat=6188367
42,"LA MUSICA COMO MEDICINA","Instintivamente, todos conocemos el poder de la música. La utilizamos para animarnos, rendir más o tranquilizar a los niños. Hoy, la ciencia corrobora nuestra intuición: la música reduce el estrés, previene la enfermedad y fortalece el sistema inmunológico. Los beneficios de la terapia, la meditación y la medi­cina se reúnen en las notas de una canción. Sucede así porque la música forma parte de nuestro ser a niveles profundos. Somos ritmo y armonía, melodía y silencio. Llevamos la música en los genes. La terapeuta musical Christine Stevens nos ayuda a recordar y descubrir los beneficios del sonido a través de una serie de ejercicios guiados. Ritmos para el cuerpo, melodías para el corazón, armonía para el alma y silencio para la mente. Todo ello aderezado con los últimos hallazgos en materia de neurología y acompañado de valiosos links y opciones de des­carga para sanar el cuerpo, la mente y el espíritu.",http://www.libreriacuesta.com/detalle/default.asp?mat=6188403
43,"DISEÑO DE MODA","Este libro ofrece de manera exhaustiva las nociones básicas del diseño de moda. Describe las cualidades y las dotes necesarias para convertirse en un diseñador, examina las distintas oportunidades de carrera disponibles y aporta una visión equilibrada sobre el negocio de la moda en la actualidad. Entre los temas que se tratan están el de cómo interpretar un encargo; cómo crear una colección; cómo elegir un tejido; técnicas de corte, confección y sastrería; presentación de la carpeta de trabajos, y marketing y economía relacionados con el mundo de la moda. Esta edición revisada contiene nuevo material sobre cuestiones ecológicas y éticas y el creciente papel de la informática en el mundo de la moda, lo que incluye el comercio electrónico, la compra por internet, la personalización de prendas en masa, el diseño asistido por ordenador y las carpetas de trabajos digitales. Con fotografías e ilustraciones actualizadas y extensas listas de recursos y glosarios, este libro aporta a los nuevos diseñadores una valiosa hoja de ruta de la profesión.",http://www.libreriacuesta.com/detalle/default.asp?mat=6189036
44,"EL PRINCIPE AZUL QUE DIO CALABAZAS A LA","Había una vez un Príncipe Azul que estaba harto de besar a damiselas que nunca despertaban de su letargo existencial, y que sólo sabían echar a otros la culpa de su desastre vital y se empeñaban en hacer pagar sus sueños rotos a los hombres. Un buen día, nuestro Príncipe Azul se encontró con su Hada Madrina, quien le enseñó a redefinir su relación con las mujeres y a desembarazarse de todas las ideas caducas y de las obligaciones que ni siquiera había escogido. Ésta es la historia de muchos hombres, que descubren que les han contado falsos cuentos de hadas y resulta que sí tienen la capacidad de amar. Un recorrido por el alma masculina desde un punto de vista espiritual y emocional, con ironía, humor, amor, mucha alegría y el inconfundible estilo de Rosetta.",http://www.libreriacuesta.com/detalle/default.asp?mat=6191544
45,"ISABEL INTIMA","En pleno proceso de beatificación de Isabel la Católica, el conocido periodista José María Zavala tuvo el privile­gio de acceder a documentos inéditos que le hicieron des­cubrir cuan poco sabíamos de la personalidad de nuestra reina más célebre. Emotiva y apasionante, esta singular obra nos cuenta la verdadera historia de la Isabel más íntima. Atractiva, in­teligente y adelantada a su tiempo, amada y odiada a par­tes iguales. Una mujer que quiso con locura a su marido y a sus hijos y que experimentó una personalísima vivencia de la fe. Una soberana que tuvo que tomar controvertidas decisio­nes no siempre bien comprendidas y que ahora, a la luz de nuevos documentos históricos, cobran un inusitado valor. La desconocida historia, valga la redundancia, de una de las mujeres más fascinantes de la Historia.",http://www.libreriacuesta.com/detalle/default.asp?mat=6191554
46,"SER HOY DE IZQUIERDAS","Ante una socialdemocracia en horas bajas, tanto en España como en la Unión Europea, el diputado socialista por Navarra Juan Moscoso del Prado reflexiona sobre la crisis de la izquierda y traza el camino que ésta debe seguir para innovar, arriesgar y volver a ilusionar con propuestas rompedoras formuladas desde la esencia misma de los valores de la izquierda. En un ejercicio no exento de autocrítica, el autor traza un recorrido histórico por los principales hechos políticos que han caracterizado medio siglo de cambios de la izquierda en España y en el mundo para diseccionar, después, los efectos de la irrupción de la crisis financiera en 2007 y de la posterior explosión de la burbuja inmobiliaria en una España sumida en una profunda crisis económica pero también de valores, y en la desafección por el funcionamiento de los partidos políticos y la corrupción. En esa búsqueda de una izquierda ejemplarizante, que sea protagonista y catalizadora de un proyecto de país radicalmente renovado, Moscoso del Prado cuenta con la inestimable colaboración de Matt Browne, quien desde su experiencia en el gabinete de Tony Blair, como responsable de la red Progressive Governance network y del Global Progress movement, y en la actualidad en el Center for American Progress (CAP), uno de los think tanks mis influyentes en el Washington de Barack Obama, nos ilustra con el mejor ejemplo de izquierda innovadora de los últimos tiempos, la que llevó a Obama a la Casa Blanca.",http://www.libreriacuesta.com/detalle/default.asp?mat=6191560
47,"Y ELLOS SE FUERON","Isabel Ayala pertenece a una familia vinatera de un pueblo de Andalucía. Corre 1906 y la familia sufre las consecuencias de una plaga que arrasa los viñedos. Isabel, enamorada de Antonio Ruiz, se ha de casar con Paco Reyes, uno de los pocos que logró vender sus tierras antes de la plaga, para salvar económicamente a su familia. Junto a un marido al que no ama, Isabel deja atrás España y a la persona que quiere para embarcarse rumbo a Argentina. Allí funda con Paco un viñedo y se entrega al trabajo. Pero, aunque la fortuna le sonríe y la llegada de un hijo la llena de esperanza, Isabel no consigue olvidar su primer amor. Hasta que inesperadamente Antonio llega a Mendoza y la pasión —ahora prohibida— resurge como si el tiempo no hubiera transcurrido.",http://www.libreriacuesta.com/detalle/default.asp?mat=6191594
48,"LA MUJER LOCA","Julia trabaja en una pescadería y de noche estudia gra­mática porque está enamorada de su jefe, que en rea­lidad es filólogo. En sus ratos libres, la joven ayuda en el cuidado de una enferma terminal. Emérita, en cuya casa coincide con Millas, que está haciendo un repor­taje sobre la eutanasia. Durante sus visitas, el escritor se siente atraído por la idea de novelar la vida de Julia, aunque para lograrlo deberá enfrentarse a su bloqueo creativo con la ayuda de una psicoterapeuta. La realidad trastoca los planes del escritor cuando Emérita revela un secreto que ha guardado celosamen­te toda su vida. Lo que había comenzado como una cró­nica periodística se convierte entonces en una suerte de novela en la que él se verá involucrado como personaje. El mejor Juan José Millas regresa a la novela con La mujer loca, una historia en la que el lector habrá de decidir qué es verdadero y qué es falso, una investigación sobre los límites de la realidad y la ficción en una obra que condensa la esencia del maestro de la extrañeza: humor inteligente, diálogos excepcionales y una escritura provocativa. Un ejercicio de honestidad con el que afronta sus cuitas como autor desde la verosimilitud de la pura ficción.",http://www.libreriacuesta.com/detalle/default.asp?mat=6191621
49,"CUANDO LA MODA ES UN ARTE","¿Por qué unos diseños destacan por encima de otros?; ¿Por qué algunos creaciones resultan mucho más impactantes que otras? Cuando la moda es un arte muestra uno selección de ochenta diseños extraordinarios confeccionados desde principios del siglo XX hasta nuestros días. La experta en moda: Mornie Fogg establece en este libro las características que convierten estas prendas de ropa en piezas de moda icónicos e influyentes: desde los que se -apropian de otras culturas, pasando por el biquini o el jersey de cuello alto, hasta los que ejemplifican el concepto de ropa interior de calle, como el vestido corsé de Jean Paul Gaultier, posando por el ""New Look"" de Dior y el jersey de encaje de Rei Kawakubo pora Commes des Gorcons.",http://www.libreriacuesta.com/detalle/default.asp?mat=6191646
50,"FILOSOFIA COMO METANOETICA","Tanabe Hajime está considerado como la figura más destacada de la filosofía japonesa contemporánea después de Nishida Kitaro. Es, junto con este, uno de los máximos representantes de la Escuela de Kioto, un movimiento de ideas filosóficas, religiosas, sociales y políticas que surge en el convulso Japón de la primera mitad del siglo XX, y que se caracteriza por una apropiación de la filosofía occidental desde la tradición milenaria del budismo Maháyána. Filosofía como metanoética (1945), obra magna del autor, confronta el budismo de Shinran (1173-1262) con pensadores occidentales como Eckhart, Kant, Schelling, Hegel, Pascal, Kierkegaard, Nietzsche y Heidegger. El resultado es una relectura de la mística y un replanteamiento de la religión desde la dinámica de la nada. Así, constituye un valioso marco de relanzamiento histórico, ya que la nada es uno de los motivos más recurrentes en el ambiente espiritual de nuestro tiempo, en el cine, la poesía y la literatura. Como James Heisig señala en la introducción, esta traducción es el fruto de décadas de esfuerzo colectivo para dar a conocer la Escuela de Kioto, ya que los cataclismos históricos que sus representantes vivieron hacen que dicha escuela tenga mucho que aportar a la historia del pensamiento y a nuestras sociedades en crisis.",http://www.libreriacuesta.com/detalle/default.asp?mat=6191111
51,"SOLDADOS A CABALLO (OF)","Esta es la historia de un puñado de hombres, soldados de las Fuerzas especiales norteamericanas y agentes de la CÍA, a quienes, a los pocos días de los atentados del 11 de septiembre de 2001, se les encomendó la formidable tarea de derrotar a los talibanes de Afganistán, lo que consiguieron en una campaña de dos meses combatiendo junto a 15.000 afganos de la Alianza del Norte. Obligados a luchar en un terreno montañoso, debieron acostumbrarse a hacerlo a caballo, como los afganos, junto a quienes consiguieron victorias decisivas y vivieron experiencias terribles, como los sangrientos combates en la fortaleza de Qala-i-Janghi. Entrevistando a los supervivientes y recorriendo el terreno en que combatieron, Doug Stanton ha conseguido reconstruir fielmente la realidad de esta extraordinaria hazaña -hasta hoy prácticamente desconocida, puesto que se trataba de una operación secreta-a la vez que nos ofrece un cálido retrato humano de sus protagonistas.",http://www.libreriacuesta.com/detalle/default.asp?mat=6144495
52,FOCUS,"En este esperado libro, el psicólogo y periodista Daniel Goleman, autor del best-seller mundial Inteligencia emocional, nos ofrece una visión radicalmente nueva del talento más escaso y subes­timado de nuestra sociedad, una capacidad que resulta ser el secreto para la excelencia: la atención. Las personas que logran un máximo rendimiento (ya sea en los estudios, los negocios, el deporte de competición o las artes) son precisamente aquellas que cultivan formas de focalización o de meditación inteligente. Combinando la investigación de vanguardia con conocimientos prácticos, Focus profundiza en la ciencia de la atención en todas sus variedades (el foco interno, el foco en los demás y el foco exterior). En la era de la distracción permanente, Goleman sos­tiene convincentemente que ahora más que nunca tenemos que aprender a cultivar la atención, tanto como forma de autocontrol, de mejorar la empatía o para comprender la complejidad que nos rodea.",http://www.libreriacuesta.com/detalle/default.asp?mat=6187009
53,"LAS REVOLUCIONES HISPANOAMERICANAS 1808","De entre todos los grandes acontecimientos históricos que han contribuido a modelar el mundo contemporá­neo, las revoluciones hispanoamericanas, que ahora cumplen dos siglos, han tenido un papel decisivo. Sin embargo, el conocimiento histórico de estas emancipa­ciones nacionales sigue siendo fragmentario o parcial. En este contexto, no es exagerado decir que Las revolu­ciones hispanoamericanas constituye el primer análisis global enteramente satisfactorio. Como las revoluciones culminaron en una diversidad nacional más que en una unidad americana, en esta obra se hace un análisis por regiones sin por ello descuidar el movimiento continen­tal de los acontecimientos. Centra su estudio en los tres focos esenciales de las luchas independentistas, desde México, desde la Nueva Granada donde se inicia la gesta de Bolívar, y desde Buenos Aires, de donde San Martín extiende su acción al otro lado de los Andes. Las independencias se analizan sobre todo desde un punto de vista predominantemente hispanoamericano, viendo las revoluciones como creadoras de las naciones americanas más que como disolventes del imperio español, y concentrándose en la historia interna de la independencia, sin ignorar los aspectos militares y el entramado económico y social en que aquéllos se desarrollaron.",http://www.libreriacuesta.com/detalle/default.asp?mat=6148992
54,"BOLSA PARA DUMMIES","¡Descubre los secretos de Josef Ajram para triunfar en bolsa! Además de ser un famoso deportista de pruebas de resistencia extrema, el ultramán Josef Ajram es también un traderde éxito que ha desarrollado su propio estilo y filosofía. Este libro recoge la teoría básica sobre el funcionamiento de la bolsa, explicada de forma comprensible para cualquier persona. A partir de ejemplos claros y experiencias personales, Josef Ajram describe las técnicas que utiliza en su trabajo diario. Ejemplos de éxito, pero también grandes errores, ilustran y amenizan este apasionante y revelador manual.",http://www.libreriacuesta.com/detalle/default.asp?mat=6186013
55,"PLANES FRACASADOS DE LA II GUERRA MUNDIA","Una guía profusamente ilustrada de las operaciones de alto secreto, a menudo extravagantes y que no llegaron a ejecutarse, de la II Guerra Mundial. Entre ellas figuran las bautizadas con nombres en clave como León Marino, Foxley, Impensable, Plan W y otras muchas. Los planes y operaciones fracasados son analizados en profundidad y han sido organizados siguiendo un orden cronológico para su mejor comprensión. Ilustrada con documentos de archivos oficiales desclasificados recientemente, mapas y fotografías singulares en color y en blanco y negro.",http://www.libreriacuesta.com/detalle/default.asp?mat=6171487
56,"MEMORIAL DEL ENGAÑO","Sí, yo defraudé a un centenar de inversionistas. Sí, entre ellos había fondos de pensiones, universidades, hospitales. Sí, engañé a mis amigos, puse en riesgo a mis socios y a mi familia. Sí, soy un monstruo, un peligro para la sociedad. Pero quienes me señalan con sus índices flamígeros mientras contemplan el skyline de Manhattan no son mucho mejores. El 17 de septiembre de 2008, dos días después de que se declarase la quiebra de Lehman Brorhers, J. Volpi, uno de los genios financieros y mecenas de la ópera más respetados de Nueva York, abandonó intempestivamente sus oficinas de JV Capital Management. Ese mismo día las autoridades lo acusaron del desfalco de 15 mil millones de dólares, cifra considerablemente menor de los 65 mil millones de Bernard Madoff pero suficientes para acreditarlo como otro de los grandes criminales financieros de nuestra era. Tras un áspero proceso judicial, en 2013 se publicó en Estados Unidos Memorial del engaño, la supuesta autobiografía enviada por J. Volpi a un agente neoyorquino. Con un tono que revela el cinismo propio de los ""amos del universo"" que lucraron sin límites durante la burbuja inmobiliaria, este libro es el recuento en primera persona de cómo una pléyade de expertos financieros, inversionistas, reguladores y políticos -y varios premios Nobel de Economía- orquestaron una de las mayores catástrofes económicas de todos los tiempos. A diferencia de otras confesiones surgidas al calor de la crisis, Memorial del engaño es una poderosa historia de familia que adquiere los tintes de una novela negra. A la par de sus propias mentiras, Volpi desvela las de su padre, un empleado del Departamento del Tesoro que durante la segunda guerra mundial se desempeñó como asistente de Harry Dexter White, el creador del Fondo Monetario Internacional y el Banco Mundial. Al término del conflicto, los dos hombres fueron acusados de pertenecer al mismo círculo de espías comunistas.",http://www.libreriacuesta.com/detalle/default.asp?mat=6188882
57,"CLASES DE LITERATURA","Berkeley, California, otoño de 1980. En la cima de su carrera y después de años de negativas, Julio Cortázar acepta dar un curso universitario de dos meses en los Estados Unidos. Como cabía esperar, no se tratará de conferencias magistrales sino de una serie de charlas sobre literatura, y sobre todo acerca de su experiencia de escritor y la génesis de sus obras. Las clases tratan gran diversidad de temas: aspectos del cuento fantástico; la musicalidad, el humor, el erotismo y lo lúdico en la literatura; la imaginación y el realismo, la literatura social y las trampas del lenguaje, todos ellos encarnados en lecturas y ejemplos tomados de la cultura universal. Las clases llegan a su punto máximo de interés cuando Cortázar, ya en la edad de los balances, se refiere a su evolución de escritor y analiza su obra: cómo nacieron los cronopios y cuentos insuperables como ""La noche boca arriba"" o ""Continuidad de los parques""; el sentido de Rayuela y su proceso de escritura; el desafío de Libro de Manuel. Quien lea la minuciosa y fiel transcripción de trece horas de grabaciones, al cabo de este encuentro con el Cortázar oral, valorará lo mismo que en sus textos: la soltura y cercanía, la vastedad de lecturas, la honestidad intelectual, la imaginación y el rigor de tamaño profesor. El Cortázar que nos quedaba por conocer, éste que ya entra en el aula y sonríe.",http://www.libreriacuesta.com/detalle/default.asp?mat=6189033
58,"BARTOLOME DE LAS CASAS","Heraldo de la lucha por los derechos del hombre y defensor incansable de la causa de los indios en América Latina, la figura de Bartolomé de las Casas sigue siendo, al tiempo, objeto de las más exacerbadas críticas y ensalzada como ""protector universal"" de los indios.",http://www.libreriacuesta.com/detalle/default.asp?mat=6139679
59,"LOS HIJOS DE LOS DIAS","¿Sabía usted... ... que el episodio más popular del catecismo católico, Adán y Eva mordieron la manzana, en la Biblia no figura? ... que al entierro de Karl Marx acudieron sólo once personas, contando al enterrador? ... que cada dos semanas muere una lengua? Este libro abarca los días del año. De cada día nace una historia, porque estamos hechos de átomos, pero también de historias.",http://www.libreriacuesta.com/detalle/default.asp?mat=6189662
60,"AUTOAYUDA PARA TUS NERVIOS","Durante su extensa y acreditada carrera profesional, la doctora Claire Weekes ayudó a través de sus acertadas teorías y plantea­mientos, con su consulta, sus conferencias y sus publicaciones, a supe­rar los problemas de nervios y estrés de miles de pacientes en todo el mundo. Esta obra ofrece a los lectores la enorme experiencia práctica de la autora, que abarca desde la fatiga mental y la emocional, hasta la angustia, la depresión y los problemas de insomnio, pasando por la tensión nerviosa, los ataques de pánico y las obsesiones... • Tipos de agotamiento • Enfermedad nerviosa • Fobias, manías y neurosis •Crisis de ansiedad • Pérdida de autocontrol Un libro que se convertirá, gracias a las pautas, los tratamientos y medidas que aporta la doctora, en un aliado para todas aquellas perso­nas que padecen trastornos nerviosos, así como en una valiosa fuente de información, comprensión y ayuda. Una guía imprescindible para el entendimiento, la aceptación y la superación de cualquier enfermedad o afección producida por los nervios.",http://www.libreriacuesta.com/detalle/default.asp?mat=6190132
61,"LA ANALFABETA QUE ERA UN GENIO DE LOS NU","Después del éxito mundial de El abuelo que saltó por la ventana y se largó, Jonas Jonasson vuelve a deleitarnos con una novela tan desenfadada como llena de sorpresas. Con su fecunda imagina­ción y su sentido del humor surrealista e irreverente, que no deja títere con cabeza, Jonasson ha ideado una historia trepidante que arremete contra la hipocresía de la clase política al tiempo que ilumina la cara oculta de la historia oficial. En esta ocasión, la improbable heroína tiene su origen en el barrio de Soweto, el tristemente célebre gueto de Johannesburgo. Corren los años setenta, en pleno auge del apartheid, cuando Nombeko Mayeki, condenada a una vida de infortunio y con altas probabi­lidades de que ésta acabe a una edad temprana ante la indiferencia de sus semejantes, encuentra un resquicio para escapar de su aciago futuro. Dotada de un intelecto fuera de serie, e impulsada por la fuerza de un destino que ejecuta las piruetas más extrañas, el azar propulsa a Nombeko lejos de su entorno de miseria y la encarrila en un asombroso viaje en el que se topará con perso­najes de toda índole, desde un falso especialista en física nuclear y un par de agentes del Mossad con sed de venganza, hasta un rey de Suecia con rostro humano y una joven antisistema en permanente estado de ebullición. Así, la genial Nombeko recorrerá un insólito itinerario, repleto de emocionantes peripecias, hasta convertirse en una mujer clave para la supervivencia de la humanidad y, a la postre, descubrir su lugar en el mundo en las frías tierras escandinavas, un sitio con el que jamás se habría atrevido a soñar. Jonasson lo ha logrado de nuevo [ ... ]. Muy entretenido, brillante, con trasfondo político. Y alocadamente divertido. Correspondenten",http://www.libreriacuesta.com/detalle/default.asp?mat=6188408
